Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
besef (het);inzicht, begrip;besef;inzicht, begrip;意识;了解,理解
meer doordrong;"meer mensen bereikte; doordringen-doordrong-doorgedrongen";meer doordrong;meer mensen bereikte;透到;吸引更多的人
experimenteren (met);"doen experimenten met; experimenteren-experimenteerde-gëexperimenteerd";experimenteren (met);doen experimenten met;试验 (使用);进行实验
overstromen;"over het land lopen; overstromen-overstroomde-overstroomd";overstromen;over het land lopen;洪水;走遍了土地
verstandig;"wijs; een goed idee";verstandig;"wijs; een goed idee";聪明的人;"智慧;一个好主意"
dichtgestorte;drooggemaakte;dichtgestorte;drooggemaakte;成的;干燥
rivierarmen;"zijtakken van rivieren; de rivierarm";rivierarmen;"zijtakken van rivieren; de rivierarm";河;"河的树枝;河"
opvangen;"opnemen zodat het niet het land op stroomt; opvangen-ving op-opgevangen";opvangen;opnemen zodat het niet het land op stroomt;接收;吸收,以免它流向地面
creëren;maken;creëren;maken;创造;制造
kwetsbare;"zwakke, makkelijk kapot te maken; kwetsbaar";kwetsbare;"zwakke, makkelijk kapot te maken; kwetsbaar";脆弱;"易于破碎的弱点;易于破碎的脆弱性"
stroomafwaarts;de kant waar het water naartoe stroomt;stroomafwaarts;de kant waar het water naartoe stroomt;河流下;流水的方向
opgeofferd;aan het water teruggegeven;opgeofferd;aan het water teruggegeven;牺牲;返回水
gecompliceerd;moeilijk;gecompliceerd;moeilijk;复杂;难以做到
stedelijk;stads-;stedelijk;stads-;城市;城市
aangezien;formeel voor: omdat;aangezien;formeel voor: omdat;由于;形式的原因:
grondwater (het);water dat in de grond aanwezig is;grondwater;water dat in de grond aanwezig is;地下水;含有水的水
overtollig;wat te veel is, wat over is;overtollig;wat te veel is, wat over is;剩余;剩下的东西
parkeergarages;"grote ruimte om auto’s in te parkeren; de parkeergarage";parkeergarages;"grote ruimte om auto’s in te parkeren; de parkeergarage";停车场;"车辆停车场的空间;车库"
uitrusten met;"voorzien van; uitrusten-rustte uit-uitgerust";uitrusten met;voorzien van;放松;提供
ondergronds;onder de grond;ondergronds;onder de grond;地下;在地下
waterreservoir (het);"voorraadtank of -bak voor water; waterreservoirs";waterreservoir;"voorraadtank of -bak voor water; waterreservoirs";水库;"供水箱或水箱;水库"
opslagvijvers;"vijvers waar regenwater of grondwater in kan lopen; de opslagvijver";opslagvijvers;"vijvers waar regenwater of grondwater in kan lopen; de opslagvijver";储存池;"雨水或地下水可以进入的池;储存池"
verfraaien;"mooi(er) maken; verfraaien-verfraaide-verfraaid";verfraaien;mooi(er) maken;装饰;造
ontworpen;"gepland, getekend; ontwerpen-ontwierp-ontworpen";ontworpen;gepland, getekend;设计;计划,签署
drijvend;op het water blijvend, niet naar de bodem zakkend;drijvend;op het water blijvend, niet naar de bodem zakkend;漂浮;在水上,不沉下去,
plateau (het);"plaat, bodem, plat vlak; plateaus";plateau;"plaat, bodem, plat vlak; plateaus";原;"板块,底层,平面;平面"
ingenieurs;"titel van mensen die aan een technische universiteit gestudeerd hebben; de";ingenieurs;"titel van mensen die aan een technische universiteit gestudeerd hebben; de";工程师;"毕业于技术大学的人士学位;"
megastructuren;"mega = heel groot; structuren = grote oppervlakten";megastructuren;"mega = heel groot; structuren = grote oppervlakten";巨型结构;超大,结构大,面积大
voorhanden;aanwezig, te vinden;voorhanden;aanwezig, te vinden;现有;存在,可找到
expertise (de);(specialistische) kennis;expertise;(specialistische) kennis;专业知识;专业知识
aanleg (de aanleg van …);het bouwen;aanleg (de aanleg van …);het bouwen;建筑物 (建筑物);建设
baggeren;"modder verwijderen; baggeren-baggerde-gebaggerd";baggeren;modder verwijderen;矿;除
uitdiepen;"dieper maken; uitdiepen-diepte uit-uitgediept";uitdiepen;dieper maken;炼;化
vaarwegen;"transportwegen over water; de vaarweg";vaarwegen;"transportwegen over water; de vaarweg";航行;"通过水上运输道路;航线"
opspuiten;"een laag grond neerleggen; opspuiten-spoot op-opgespoten";opspuiten;een laag grond neerleggen;喷;放低地面
kunstmatige;door mensen gemaakte;kunstmatige;door mensen gemaakte;其他类型;人造的
beheersen;"hebben in handen, bezitten; beheersen-beheerste-beheerst";beheersen;hebben in handen, bezitten;控制;拥有,拥有
software (de);computerprogramma(’s);software;computerprogramma(’s);软件;计算机程序
technologie (de);kennis van techniek;technologie;kennis van techniek;技术;技术知识
bewaking (de);controle, letten op;bewaking;controle, letten op;监视;控制,注意
gewijzigd;"veranderd; wijzigen-wijzigde-gewijzigd";gewijzigd;veranderd;已修改;变化
het hoofd boven water;overleven;het hoofd boven water;overleven;头顶在水上;生存
realiseerbaar;te realiseren, uit te voeren;realiseerbaar;te realiseren, uit te voeren;实现的;实现,执行
infrastructurele;op het gebied van de landelijke organisatie van informatie en vervoer;infrastructurele;op het gebied van de landelijke organisatie van informatie en vervoer;基础设施;关于国家信息和交通组织的领域
stuiten op;"tegenkomen; stuiten-stuitte-gestuit";stuiten op;tegenkomen;起;遇见
planologen;"mensen die de infrastructuur plannen; de planoloog";planologen;"mensen die de infrastructuur plannen; de planoloog";计划学家;"计划人员;计划师"
laaggelegen;onder zeeniveau;laaggelegen;onder zeeniveau;低;在海平面以下
emigreren;"verhuizen naar een ander land; emigreren-emigreerde-geëmigreerd";emigreren;verhuizen naar een ander land;移民;搬到另一个国家
catastrofe (de);"ramp, extreem groot ongeluk; catastrofes";catastrofe;"ramp, extreem groot ongeluk; catastrofes";灾难;"灾难,极大的事故;灾难"
ecologie (de);wetenschap van zaken die goed zijn voor het milieu;ecologie;wetenschap van zaken die goed zijn voor het milieu;环境;环境有益的科学
onvoldoende;niet genoeg;onvoldoende;niet genoeg;没有足够的;没有足够的
offeren op;"weg of kapot laten gaan; opofferen-offerde op-opgeofferd";offeren op;weg of kapot laten gaan;献祭;放弃或破坏
hierbij;met deze actie;hierbij;met deze actie;在此,;通过此举
versus;tegenover;versus;tegenover;其他;与
Kerstman (de);Father Christmas/père Noël/Weihnachtsmann/noel baba;Kerstman;Father Christmas/père Noël/Weihnachtsmann/noel baba;圣诞老人;圣诞老人/圣诞老人/子
aanklacht (de);"de beschuldiging, de reden dat iemand naar de rechtbank moet komen;";aanklacht;"de beschuldiging, de reden dat iemand naar de rechtbank moet komen;";起诉;任何人都需要去法庭,
citeer;"neem de woorden van iemand anders over; citeren-citeerde-geciteerd";citeer;neem de woorden van iemand anders over;引用;接受别人的言论
verdachte (de);"iemand waarvan officieel wordt gedacht dat hij iets gedaan heeft wat niet mag;";verdachte;"iemand waarvan officieel wordt gedacht dat hij iets gedaan heeft wat niet mag;";疑似者;"任何被公开认为做出不当的事的人;"
systematische;steeds opnieuw, volgens een systeem;systematische;steeds opnieuw, volgens een systeem;系统性;系统上,一次又一次
grove;ernstige;grove;ernstige;的;严重
maakt misbruik van;gebruikt verkeerd of slecht gebruiken, profiteert;maakt misbruik van;gebruikt verkeerd of slecht gebruiken, profiteert;滥用;钱的,不适合使用,不适合使用,不适合使用
onschuld (de);de situatie dat je geen verkeerde dingen doet of denkt;onschuld;de situatie dat je geen verkeerde dingen doet of denkt;无辜;没有做错误的事情或思考错误的事情
een sfeer van;een omgeving van;een sfeer van;een omgeving van;气氛;环境
onderdrukking (de);in een positie dwingen waarin iemand weinig vrijheid heeft;onderdrukking;in een positie dwingen waarin iemand weinig vrijheid heeft;压迫;强迫一个人没有自由的位置
schendt;"niet handelen volgens de afspraak; schenden-schond-geschonden";schendt;niet handelen volgens de afspraak;违反了;不按照协议行动
kinderrechtenverdrag (het);regels voor de bescherming van kinderen (tot achttien jaar), aangenomen door;kinderrechtenverdrag;regels voor de bescherming van kinderen (tot achttien jaar), aangenomen door;儿童权利公约;通过的儿童保护 (至18岁) 规则
acht zich schuldig;vindt dat hij schuldig is;acht zich schuldig;vindt dat hij schuldig is;认为自己有罪;他认为自己有罪.
aangeklaagde (de);"de beschuldigde, iemand die aangeklaagd is, zie aanklacht; aangeklaagden";aangeklaagde;"de beschuldigde, iemand die aangeklaagd is, zie aanklacht; aangeklaagden";被告;"被告,被告,见指控;被告"
advocaat (de);iemand die voor zijn/haar beroep mensen steunt die voor de rechter moeten;advocaat;iemand die voor zijn/haar beroep mensen steunt die voor de rechter moeten;律师;支持那些需要在法庭上诉的人
edelachtbare (de);aanspreektitel van de rechter;edelachtbare;aanspreektitel van de rechter;您的尊严;法官的诉讼
cliënt (de);"klant bij de rechtbank of bij bedrijven; cliënten";cliënt;"klant bij de rechtbank of bij bedrijven; cliënten";客户;"公司或法院的客户;客户"
onschuldig;niet schuldig;onschuldig;niet schuldig;没有罪过;没有罪
aanklager (de);iemand die officieel bij de rechter klaagt over de schuld van een cliënt;aanklager;iemand die officieel bij de rechter klaagt over de schuld van een cliënt;检察官;任何人都会向法院提出诉讼,
het woord voeren;spreken op een vergadering of andere officiële bijeenkomst;het woord voeren;spreken op een vergadering of andere officiële bijeenkomst;言;在会议或其他正式会议上发表讲话
verdediging (de);degene(n) die de cliënt verdedigen en zijn onschuld proberen te bewijzen;verdediging;degene(n) die de cliënt verdedigen en zijn onschuld proberen te bewijzen;防卫;那些为客户辩护,试图证明他无辜的人
bewijzen;"laten zien, duidelijk maken; bewijzen-bewees-bewezen";bewijzen;laten zien, duidelijk maken;证据;让人明白,
met behulp van;"m.b.v.; met de hulp van; vaste combinatie";met behulp van;"m.b.v.; met de hulp van; vaste combinatie";通过;"其他:使用;固定组合"
getuigen;iemand die bij een gebeurtenis aanwezig was en kan vertellen wat er gebeurd;getuigen;iemand die bij een gebeurtenis aanwezig was en kan vertellen wat er gebeurd;证人;能告诉我们发生的事情的人
knechten;"mannen of jongens die helpen bij het werk; de knecht";knechten;"mannen of jongens die helpen bij het werk; de knecht";服务员;"帮助工作的男孩或男孩;仆人"
maken zich schuldig aan;maken deze fout:;maken zich schuldig aan;maken deze fout:;犯了罪;犯下这样的错误:
emotionele mishandeling;het emotioneel pijn doen, of beschadigen van gevoelens;emotionele mishandeling;het emotioneel pijn doen, of beschadigen van gevoelens;情感虐待;伤害情绪,或损害情绪
minderjarigen;"kinderen onder de achttien jaar; de minderjarige";minderjarigen;"kinderen onder de achttien jaar; de minderjarige";儿童;"儿童18岁以下;未成年人"
twijfel (de);"een gevoel dat je het niet zeker weet; twijfels";twijfel;"een gevoel dat je het niet zeker weet; twijfels";怀疑;"感觉自己不确定;"
bij aankomst;als hij aankomt, als hij binnenkomt;bij aankomst;als hij aankomt, als hij binnenkomt;在抵达时;当他到达的时候,当他进来的时候,
liegen;"niet de waarheid zeggen; liegen-loog-gelogen";liegen;niet de waarheid zeggen;谎言;不说真话
opgeschreven;"genoteerd; opschrijven-schreef op-opgeschreven";opgeschreven;genoteerd;已写;已注册
kopie (de);"hetzelfde, identieke exemplaar; kopieën";kopie;"hetzelfde, identieke exemplaar; kopieën";复印件;复印件,复印件,复印件
bewijsstuk (het);"iets wat de schuld van de cliënt bij de rechter moet bewijzen; bewijsstukken";bewijsstuk;"iets wat de schuld van de cliënt bij de rechter moet bewijzen; bewijsstukken";证据;"任何事物,必须在法庭上证明客户的错误;证据"
zak (de);"bag/sac/Sack/cep van Sinterklaas waar cadeaus inzitten; zakken";zak;"bag/sac/Sack/cep van Sinterklaas waar cadeaus inzitten; zakken";包;"包/袋/袋/袋,包装礼物;"
schending (de);"niet handelen volgens de afspraak; schendingen";schending;"niet handelen volgens de afspraak; schendingen";违反;违反协议行为
stress (de);grote spanning;stress;grote spanning;压力;强压力
inbreken;zonder toestemming bij iemand door een deur of raam naar binnen gaan,;inbreken;zonder toestemming bij iemand door een deur of raam naar binnen gaan,;入;没有人允许他们通过门或窗户进入,
overtreding (de);"een actie die tegen de regels is; overtredingen";overtreding;"een actie die tegen de regels is; overtredingen";违规行为;"违规行为;违规行为"
het wetboek van strafrecht;het boek waarin staat wat wel en niet mag in Nederland;het wetboek van strafrecht;het boek waarin staat wat wel en niet mag in Nederland;刑事法典;荷兰有什么可以和什么不能
concentratieverlies (het);minder aandacht bij de les op school;concentratieverlies;minder aandacht bij de les op school;度减轻;在学校学习时,注意力减少
cijfers;"resultaten op school; grades/notes/Noten/notlar; het cijfer";cijfers;"resultaten op school; grades/notes/Noten/notlar; het cijfer";数字;"校园成绩;成绩/成绩/成绩/成绩;成绩"
protesteer;"ben het er niet mee eens; protesteren-protesteerde-geprotesteerd";protesteer;ben het er niet mee eens;抗议;我不同意
absurde;zeer vreemde;absurde;zeer vreemde;无稽之谈;非常奇怪
beschuldigingen;"aanklachten, de woorden waarmee je iemand schuldig verklaart; de";beschuldigingen;"aanklachten, de woorden waarmee je iemand schuldig verklaart; de";指控;告别,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责,指责
iets niet nemen;niet accepteren;iets niet nemen;niet accepteren;没有什么东西;拒绝接受
het/dit slaat nergens op;dit is absurd, nonsens;het/dit slaat nergens op;dit is absurd, nonsens;没有任何信息;这很荒谬,很荒谬.
onderbreken;iemand even laten stoppen met praten;onderbreken;iemand even laten stoppen met praten;暂停;让一个人停止说话
kindervriend (de);iemand die van kinderen houdt, hier een ander woord voor Sinterklaas;kindervriend;iemand die van kinderen houdt, hier een ander woord voor Sinterklaas;孩子的朋友;爱孩子的人,这是圣诞老人的另一个词.
houdt bij;"schrijft in; bijhouden-hield bij-bijgehouden";houdt bij;schrijft in;保持;写入
rare;met vreemde kleren;rare;met vreemde kleren;很奇怪;穿着奇怪的衣服
enge;waar je bang van wordt;enge;waar je bang van wordt;恐怖的;你会害怕的东西
symbool staan voor;vertegenwoordigen;symbool staan voor;vertegenwoordigen;标志代表;代表
kolonialisme (het);systeem waarin het ene land het andere bezit en misbruikt;kolonialisme;systeem waarin het ene land het andere bezit en misbruikt;殖民主义;一个国家拥有和滥用另一国的制度
uitbuiting (de);mensen voor je laten werken zonder betaling;uitbuiting;mensen voor je laten werken zonder betaling;剥削;让人们为你工作,没有收费
wantoestand (de);zeer slechte toestand;wantoestand;zeer slechte toestand;病;非常不良的情况
